"","OTU","s_A2","s_A3","s_A4","s_B1","s_B2","s_B4","s_C1","s_C2","s_C3","w_A1","w_A2","w_A3","w_A4","w_B1","w_B2","w_B3","w_B4","w_C1","w_C2","w_C3","w_C4","Taxa","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"687",849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.4428),c:Diatomea(0.3267),o:Bacillariophytina(0.0769),f:Bacillariophyceae(0.0394),g:Nitzschia(0.0091)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"688",851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.3744),c:Diatomea(0.2614),o:Coscinodiscophytina(0.0252),f:Fragilariales(0.0117),g:Licmophora(0.0019)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Licmophora",NA
"689",852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.6733),p:Ciliophora(0.1192),c:Intramacronucleata(0.0637),o:Spirotrichea(0.0123),f:Hypotrichia(0.0044),g:Unknown_Genus_1001753(0.0014)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia","Unknown_Genus_1001753",NA
"690",857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8994),p:Ciliophora(0.2258),c:Intramacronucleata(0.1259),o:Conthreep(0.0201),f:Oligohymenophorea(0.0084),g:Tetrahymena(0.0019)","Eukaryota","Ciliophora","Intramacronucleata","Conthreep","Oligohymenophorea","Tetrahymena",NA
"691",858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Annelida(0.2392),c:Polychaeta(0.1337),o:Phyllodocida(0.0212),f:Unknown_Family_1003320(0.0090),g:Unknown_Genus_1001197(0.0019)","Eukaryota","Annelida","Polychaeta","Phyllodocida","Unknown_Family_1003320","Unknown_Genus_1001197",NA
"692",860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8090),p:Ciliophora(0.1725),c:Intramacronucleata(0.0948),o:Spirotrichea(0.0167),f:Unknown_Family_1003834(0.0067),g:Unknown_Genus_1001751(0.0017)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Unknown_Family_1003834","Unknown_Genus_1001751",NA
"693",862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.6507),p:Apicomplexa(0.1325),c:Aconoidasida(0.0715),o:Piroplasmorida(0.0134),f:Unknown_Family_1003818(0.0050),g:Theileria(0.0015)","Eukaryota","Apicomplexa","Aconoidasida","Piroplasmorida","Unknown_Family_1003818","Theileria",NA
"694",863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Apicomplexa(0.2717),c:Conoidasida(0.1472),o:Coccidia(0.0424),f:Eimeriorina(0.0209),g:Goussia(0.0019)","Eukaryota","Apicomplexa","Conoidasida","Coccidia","Eimeriorina","Goussia",NA
"695",864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Protalveolata(0.3060),c:Syndiniales(0.1961),o:Unknown_Order_1003905(0.0942),f:Unknown_Family_1003906(0.0486),g:Amoebophrya(0.0150)","Eukaryota","Protalveolata","Syndiniales","Unknown_Order_1003905","Unknown_Family_1003906","Amoebophrya",NA
"696",865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Tunicata(0.3060),c:Ascidiacea(0.1961),o:Stolidobranchia(0.0942),f:Unknown_Family_1003632(0.0486),g:Unknown_Genus_1001333(0.0150)","Eukaryota","Tunicata","Ascidiacea","Stolidobranchia","Unknown_Family_1003632","Unknown_Genus_1001333",NA
"697",866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Cnidaria(0.2888),c:Anthozoa(0.1259),o:Actiniaria(0.0212),f:Unknown_Family_1003256(0.0090),g:Unknown_Genus_1001555(0.0019)","Eukaryota","Cnidaria","Anthozoa","Actiniaria","Unknown_Family_1003256","Unknown_Genus_1001555",NA
"698",867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Mollusca(0.3915),c:Polyplacophora(0.2778),o:Neoloricata(0.1805),f:Unknown_Family_1003517(0.0946),g:Unknown_Genus_1001415(0.0298)","Eukaryota","Mollusca","Polyplacophora","Neoloricata","Unknown_Family_1003517","Unknown_Genus_1001415",NA
"699",868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8768),p:Dinoflagellata(0.1858),c:Dinophyceae(0.1026),o:Gymnodiniphycidae(0.0178),f:Gymnodinium_clade(0.0073),g:Gymnodinium(0.0017)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodinium_clade","Gymnodinium",NA
"700",870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Cnidaria(0.2258),c:Anthozoa(0.1259),o:Actiniaria(0.0212),f:Unknown_Family_1003256(0.0090),g:Unknown_Genus_1001555(0.0019)","Eukaryota","Cnidaria","Anthozoa","Actiniaria","Unknown_Family_1003256","Unknown_Genus_1001555",NA
"701",871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7411),p:Dinoflagellata(0.1592),c:Dinophyceae(0.0870),o:Gymnodiniphycidae(0.0145),f:Suessiaceae(0.0056),g:Pelagodinium(0.0015)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Suessiaceae","Pelagodinium",NA
"702",872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7864),p:Ochrophyta(0.1592),c:Diatomea(0.0870),o:Bacillariophytina(0.0156),f:Bacillariophyceae(0.0061),g:Nitzschia(0.0016)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"703",875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Cnidaria(0.3231),c:Anthozoa(0.1961),o:Actiniaria(0.0942),f:Unknown_Family_1003256(0.0486),g:Unknown_Genus_1001555(0.0150)","Eukaryota","Cnidaria","Anthozoa","Actiniaria","Unknown_Family_1003256","Unknown_Genus_1001555",NA
"704",877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7185),p:Annelida(0.1458),c:Polychaeta(0.0793),o:Terebellida(0.0145),f:Unknown_Family_1003328(0.0056),g:Unknown_Genus_1001209(0.0015)","Eukaryota","Annelida","Polychaeta","Terebellida","Unknown_Family_1003328","Unknown_Genus_1001209",NA
"705",878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Florideophycidae(0.4086),c:Rhodymeniophycidae(0.1798),o:Unknown_Order_1003051(0.0769),f:Unknown_Family_1003052(0.0394),g:Dictyothamnion(0.0062)","Eukaryota","Florideophycidae","Rhodymeniophycidae","Unknown_Order_1003051","Unknown_Family_1003052","Dictyothamnion",NA
"706",880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8768),p:Dinoflagellata(0.1858),c:Dinophyceae(0.1026),o:Gymnodiniphycidae(0.0178),f:Unknown_Family_1003853(0.0073),g:Gyrodinium(0.0017)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Unknown_Family_1003853","Gyrodinium",NA
"707",881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8316),p:Dinoflagellata(0.1858),c:Dinophyceae(0.1026),o:Gymnodiniphycidae(0.0167),f:Unknown_Family_1003853(0.0067),g:Gyrodinium(0.0017)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Unknown_Family_1003853","Gyrodinium",NA
"708",882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8768),p:Dinoflagellata(0.1992),c:Dinophyceae(0.1104),o:Gymnodiniphycidae(0.0178),f:Unknown_Family_1003853(0.0073),g:Gyrodinium(0.0017)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Unknown_Family_1003853","Gyrodinium",NA
"709",883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.6281),p:Ciliophora(0.1192),c:Intramacronucleata(0.0637),o:Spirotrichea(0.0123),f:Euplotia(0.0044),g:Discocephalus(0.0014)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Euplotia","Discocephalus",NA
"710",887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7411),p:Ochrophyta(0.1725),c:Diatomea(0.0948),o:Coscinodiscophytina(0.0145),f:Fragilariales(0.0056),g:Licmophora(0.0015)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Licmophora",NA
"711",888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7185),p:Ciliophora(0.1325),c:Intramacronucleata(0.0715),o:Spirotrichea(0.0134),f:Euplotia(0.0050),g:Diophrys(0.0015)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Euplotia","Diophrys",NA
"712",892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8316),p:Dinoflagellata(0.1725),c:Dinophyceae(0.0948),o:Peridiniphycidae(0.0167),f:Thoracosphaeraceae(0.0067),g:Scrippsiella(0.0017)","Eukaryota","Dinoflagellata","Dinophyceae","Peridiniphycidae","Thoracosphaeraceae","Scrippsiella",NA
"713",893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ciliophora(0.5455),c:Intramacronucleata(0.3969),o:Spirotrichea(0.3132),f:Hypotrichia(0.0854),g:Holosticha(0.0269)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia","Holosticha",NA
"714",894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7411),p:Dinoflagellata(0.1458),c:Dinophyceae(0.0793),o:Gymnodiniphycidae(0.0145),f:Kareniaceae(0.0056),g:Karlodinium(0.0015)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Kareniaceae","Karlodinium",NA
"715",895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Cnidaria(0.5646),c:Hydrozoa(0.3431),o:Siphonophorae(0.1977),f:Unknown_Family_1003272(0.1038),g:Unknown_Genus_1001570(0.0328)","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Unknown_Family_1003272","Unknown_Genus_1001570",NA
"716",896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ciliophora(0.5646),c:Intramacronucleata(0.4661),o:Spirotrichea(0.3462),f:Hypotrichia(0.1315),g:Gonostomum(0.0328)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia","Gonostomum",NA
"717",898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7411),p:Apicomplexa(0.1592),c:Conoidasida(0.0870),o:Coccidia(0.0156),f:Eimeriorina(0.0061),g:Goussia(0.0016)","Eukaryota","Apicomplexa","Conoidasida","Coccidia","Eimeriorina","Goussia",NA
"718",903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7864),p:Dinoflagellata(0.1592),c:Dinophyceae(0.0870),o:Gymnodiniphycidae(0.0156),f:Suessiaceae(0.0061),g:Biecheleria(0.0016)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Suessiaceae","Biecheleria",NA
"719",905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7864),p:Ciliophora(0.1858),c:Intramacronucleata(0.1026),o:Spirotrichea(0.0178),f:Euplotia(0.0061),g:Discocephalus(0.0016)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Euplotia","Discocephalus",NA
"720",906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9446),p:Dinoflagellata(0.2125),c:Dinophyceae(0.1181),o:Gymnodiniphycidae(0.0189),f:Gymnodinium_clade(0.0078),g:Erythropsidinium(0.0018)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodinium_clade","Erythropsidinium",NA
"721",907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.6281),p:Ciliophora(0.1192),c:Intramacronucleata(0.0637),o:Spirotrichea(0.0123),f:Euplotia(0.0039),g:Discocephalus(0.0013)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Euplotia","Discocephalus",NA
"722",909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Apicomplexa(0.3402),c:Conoidasida(0.2288),o:Coccidia(0.1287),f:Eimeriorina(0.0670),g:Goussia(0.0150)","Eukaryota","Apicomplexa","Conoidasida","Coccidia","Eimeriorina","Goussia",NA
"723",912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8316),p:Dinoflagellata(0.1858),c:Dinophyceae(0.1026),o:Gymnodiniphycidae(0.0167),f:Unknown_Family_1003853(0.0067),g:Amphidinium(0.0017)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Unknown_Family_1003853","Amphidinium",NA
"724",913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8542),p:Dinoflagellata(0.1858),c:Dinophyceae(0.1026),o:Gymnodiniphycidae(0.0167),f:Unknown_Family_1003853(0.0067),g:Gyrodinium(0.0017)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Unknown_Family_1003853","Gyrodinium",NA
"725",914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8994),p:Ochrophyta(0.3060),c:Diatomea(0.1961),o:Bacillariophytina(0.0189),f:Bacillariophyceae(0.0078),g:Nitzschia(0.0018)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"726",915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.5284),c:Diatomea(0.3947),o:Coscinodiscophytina(0.1287),f:Fragilariales(0.0670),g:Licmophora(0.0210)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Licmophora",NA
"727",917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7864),p:Dinoflagellata(0.1592),c:Dinophyceae(0.0870),o:Gymnodiniphycidae(0.0156),f:Suessiaceae(0.0061),g:Biecheleria(0.0016)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Suessiaceae","Biecheleria",NA
"728",918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.2717),c:Diatomea(0.1472),o:Bacillariophytina(0.0252),f:Bacillariophyceae(0.0117),g:Nitzschia(0.0019)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"729",921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Cnidaria(0.2392),c:Anthozoa(0.1337),o:Actiniaria(0.0252),f:Unknown_Family_1003256(0.0117),g:Unknown_Genus_1001555(0.0032)","Eukaryota","Cnidaria","Anthozoa","Actiniaria","Unknown_Family_1003256","Unknown_Genus_1001555",NA
"730",923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7185),p:Ciliophora(0.1725),c:Intramacronucleata(0.0948),o:Spirotrichea(0.0167),f:Hypotrichia(0.0050),g:Anteholosticha(0.0015)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia","Anteholosticha",NA
"731",927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.6507),p:Ochrophyta(0.1325),c:Diatomea(0.0637),o:Bacillariophytina(0.0123),f:Bacillariophyceae(0.0044),g:Psammodictyon(0.0014)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Psammodictyon",NA
"732",929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.6959),p:Dinoflagellata(0.1458),c:Dinophyceae(0.0793),o:Gymnodiniphycidae(0.0134),f:Incertae_Sedis_9247(0.0050),g:Akashiwo(0.0015)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Incertae_Sedis_9247","Akashiwo",NA
"733",932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.6733),p:Ochrophyta(0.1325),c:Diatomea(0.0715),o:Bacillariophytina(0.0134),f:Bacillariophyceae(0.0050),g:Nitzschia(0.0014)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"734",933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ciliophora(0.3060),c:Intramacronucleata(0.1961),o:Spirotrichea(0.0424),f:Hypotrichia(0.0209),g:Unknown_Genus_1001753(0.0032)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia","Unknown_Genus_1001753",NA
"735",935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.5829),p:Ciliophora(0.1325),c:Intramacronucleata(0.0715),o:Spirotrichea(0.0123),f:Hypotrichia(0.0033),g:Anteholosticha(0.0013)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia","Anteholosticha",NA
"736",936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ciliophora(1.0000),c:Intramacronucleata(1.0000),o:Spirotrichea(1.0000),f:Euplotia(0.9187),g:Euplotidium(0.7768)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Euplotia","Euplotidium",NA
"737",944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7638),p:Ciliophora(0.1592),c:Intramacronucleata(0.0870),o:Spirotrichea(0.0156),f:Euplotia(0.0061),g:Discocephalus(0.0015)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Euplotia","Discocephalus",NA
"738",949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ciliophora(0.7836),c:Intramacronucleata(0.8532),o:Spirotrichea(0.8488),f:Hypotrichia(0.8281),g:Parabirojimia(0.1693)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia","Parabirojimia",NA
"739",951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9446),p:Basidiomycota(0.2125),c:Agaricomycetes(0.1181),o:Hymenochaetales(0.0201),f:Tubulicrinaceae(0.0084),g:Hyphodontia(0.0019)","Eukaryota","Basidiomycota","Agaricomycetes","Hymenochaetales","Tubulicrinaceae","Hyphodontia",NA
"740",952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9898),p:Brachiopoda(0.2258),c:Unknown_Class_1003448(0.1259),o:Unknown_Order_1003449(0.0212),f:Unknown_Family_1003450(0.0090),g:Unknown_Genus_1001313(0.0019)","Eukaryota","Brachiopoda","Unknown_Class_1003448","Unknown_Order_1003449","Unknown_Family_1003450","Unknown_Genus_1001313",NA
"741",954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.6959),p:Ciliophora(0.1325),c:Intramacronucleata(0.0715),o:Spirotrichea(0.0134),f:Euplotia(0.0050),g:Diophrys(0.0015)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Euplotia","Diophrys",NA
"742",958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9898),p:Dinoflagellata(0.2546),c:Dinophyceae(0.1337),o:Gymnodiniphycidae(0.0252),f:Unknown_Family_1003853(0.0117),g:Gyrodinium(0.0032)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Unknown_Family_1003853","Gyrodinium",NA
"743",960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.6945),c:Diatomea(0.7400),o:Coscinodiscophytina(0.2668),f:Fragilariales(0.1410),g:Licmophora(0.0466)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Licmophora",NA
"744",963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9672),p:Dinoflagellata(0.2125),c:Dinophyceae(0.1181),o:Gymnodiniphycidae(0.0201),f:Unknown_Family_1003853(0.0084),g:Gyrodinium(0.0019)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Unknown_Family_1003853","Gyrodinium",NA
"745",964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.2546),c:Diatomea(0.1337),o:Bacillariophytina(0.0252),f:Mediophyceae(0.0090),g:Chaetoceros(0.0019)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Mediophyceae","Chaetoceros",NA
"746",966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9446),p:Ciliophora(0.2125),c:Intramacronucleata(0.1181),o:Spirotrichea(0.0201),f:Hypotrichia(0.0078),g:Unknown_Genus_1001753(0.0018)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia","Unknown_Genus_1001753",NA
"747",967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Mollusca(0.4600),c:Polyplacophora(0.3431),o:Neoloricata(0.2495),f:Unknown_Family_1003517(0.1315),g:Unknown_Genus_1001415(0.0426)","Eukaryota","Mollusca","Polyplacophora","Neoloricata","Unknown_Family_1003517","Unknown_Genus_1001415",NA
"748",968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.6281),p:Ciliophora(0.1192),c:Intramacronucleata(0.0637),o:Spirotrichea(0.0123),f:Oligotrichia(0.0039),g:Pseudotontonia(0.0013)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Oligotrichia","Pseudotontonia",NA
"749",969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Cnidaria(0.2717),c:Hydrozoa(0.1337),o:Trachymedusae(0.0252),f:Unknown_Family_1003277(0.0117),g:Unknown_Genus_1001574(0.0032)","Eukaryota","Cnidaria","Hydrozoa","Trachymedusae","Unknown_Family_1003277","Unknown_Genus_1001574",NA
"750",970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9220),p:Cryptomonadales(0.2125),c:Unknown_Class_1003091(0.1181),o:Unknown_Order_1003092(0.0201),f:Unknown_Family_1003093(0.0084),g:Teleaulax(0.0019)","Eukaryota","Cryptomonadales","Unknown_Class_1003091","Unknown_Order_1003092","Unknown_Family_1003093","Teleaulax",NA
"751",971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.5151),p:Dinoflagellata(0.0925),c:Dinophyceae(0.0482),o:Peridiniphycidae(0.0089),f:Thoracosphaeraceae(0.0027),g:Tintinnophagus(0.0012)","Eukaryota","Dinoflagellata","Dinophyceae","Peridiniphycidae","Thoracosphaeraceae","Tintinnophagus",NA
"752",973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9898),p:Ochrophyta(0.2258),c:Diatomea(0.1259),o:Bacillariophytina(0.0212),f:Bacillariophyceae(0.0090),g:Nitzschia(0.0019)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"753",974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.6055),p:Ciliophora(0.1058),c:Intramacronucleata(0.0559),o:Conthreep(0.0112),f:Oligohymenophorea(0.0039),g:Tetrahymena(0.0013)","Eukaryota","Ciliophora","Intramacronucleata","Conthreep","Oligohymenophorea","Tetrahymena",NA
"754",975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.5829),p:Basidiomycota(0.1192),c:Agaricomycetes(0.0637),o:Boletales(0.0112),f:Boletinellaceae(0.0039),g:Phlebopus(0.0013)","Eukaryota","Basidiomycota","Agaricomycetes","Boletales","Boletinellaceae","Phlebopus",NA
"755",978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7411),p:Basidiomycota(0.1458),c:Agaricomycetes(0.0793),o:Polyporales(0.0145),f:Polyporaceae(0.0056),g:Polyporus(0.0015)","Eukaryota","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Polyporus",NA
"756",979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7638),p:Ciliophora(0.1592),c:Intramacronucleata(0.0870),o:Spirotrichea(0.0156),f:Euplotia(0.0056),g:Discocephalus(0.0015)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Euplotia","Discocephalus",NA
"757",980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Cnidaria(0.6278),c:Hydrozoa(0.4059),o:Leptothecata(0.3132),f:Unknown_Family_1003271(0.1788),g:Unknown_Genus_1001569(0.0628)","Eukaryota","Cnidaria","Hydrozoa","Leptothecata","Unknown_Family_1003271","Unknown_Genus_1001569",NA
